"local_id","species","day","month","year","country","m_IT","n_IT","m_sex","doi","name","description","Contributor_name","Contributor_lastname"
86,"Andrena barbilabris",NA,6,1966,"Netherlands",2.2,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
87,"Andrena barbilabris",NA,4,1966,"Netherlands",2.5,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
88,"Andrena barbilabris",NA,5,1971,"Netherlands",2.2,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
89,"Andrena barbilabris",NA,4,1974,"Netherlands",2,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
90,"Andrena barbilabris",23,4,1961,"Netherlands",2.5,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
91,"Andrena barbilabris",19,5,1973,"Netherlands",2,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
92,"Andrena barbilabris",15,5,1973,"Netherlands",2.4,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
93,"Andrena barbilabris",NA,7,1972,"Netherlands",2.1,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
94,"Andrena barbilabris",21,4,1962,"Netherlands",2.2,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
95,"Andrena barbilabris",21,4,1962,"Netherlands",2.1,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
96,"Andrena barbilabris",24,4,1962,"Netherlands",2.4,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
97,"Andrena barbilabris",30,5,1980,"Netherlands",2.3,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
98,"Andrena barbilabris",19,5,1977,"Netherlands",2.3,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
99,"Andrena barbilabris",NA,6,1974,"Netherlands",2.4,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
100,"Andrena barbilabris",NA,5,1967,"Netherlands",2.6,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
101,"Andrena barbilabris",28,4,1982,"Netherlands",2.5,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
102,"Andrena barbilabris",23,4,1983,"Netherlands",2,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
103,"Andrena barbilabris",NA,4,1984,"Netherlands",1.9,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
104,"Andrena barbilabris",NA,4,1982,"Netherlands",2.2,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
105,"Andrena barbilabris",26,4,1983,"Netherlands",2.4,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
106,"Andrena barbilabris",17,4,1982,"Netherlands",2.4,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
107,"Andrena barbilabris",19,4,1982,"Netherlands",2.1,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
108,"Andrena barbilabris",29,4,1990,"Netherlands",2.5,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
109,"Andrena barbilabris",30,4,1983,"Netherlands",2.2,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
110,"Andrena barbilabris",17,5,1983,"Netherlands",2.5,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
111,"Andrena barbilabris",30,4,1983,"Netherlands",2.2,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
112,"Andrena barbilabris",15,6,1996,"Netherlands",2.1,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
113,"Andrena barbilabris",21,4,1996,"Netherlands",2,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
114,"Andrena barbilabris",27,4,1993,"Netherlands",2.4,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
115,"Andrena barbilabris",29,6,1993,"Netherlands",2.5,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
116,"Andrena barbilabris",NA,4,1999,"Netherlands",2.3,1,"female","10.1371/journal.pone.0148983","Oliveira_2016","Dataset describing bodi sizes for 10 bee species alomg > 100 years in the Nederlands",NA,NA
